external_id,name,province,admin_zone,current_precision,current_lat,current_lng,google_lat,google_lng,status,location_type,partial_match,formatted_address,place_id,quality_reason
e3dc5c7b4c74d506,บริษัท เอ็ม เอ ซี แอสโซซิเอชั่น จำกัด,ชลบุรี,อำเภอเมืองชลบุรี,city,13.3662087,100.9872185,13.3480956,101.0194079,OK,APPROXIMATE,TRUE,หมู่ที่ 1 ตำบลหนองรี อำเภอเมืองชลบุรี ชลบุรี 20000 ประเทศไทย,ChIJ-RYqWgc1HTERkzSvJ0fgeKQ,low confidence location_type=APPROXIMATE
9a28a0966c7ba852,บริษัท จูบิลี ไทม จำกัด,กรุงเทพมหานคร,เขตลาดพร้าว,approximate,13.8088703,100.6177644,13.6850441,100.5467076,OK,GEOMETRIC_CENTER,TRUE,"43, Soi Saphan Khu, Rama 4 Road, Thung Mahamek, Khet Sathon, Bangkok, 10120, แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย",ChIJqTKDfuGh4jARpOGv-YGVER4,low confidence location_type=GEOMETRIC_CENTER
20394980022c2986,บริษัท คริสตัล ทราเวล สไตลิสต์ จำกัด,กรุงเทพมหานคร,เขตลาดพร้าว,approximate,13.8088703,100.6177644,13.6850441,100.5467076,OK,GEOMETRIC_CENTER,TRUE,"43, Soi Saphan Khu, Rama 4 Road, Thung Mahamek, Khet Sathon, Bangkok, 10120, แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย",ChIJqTKDfuGh4jARpOGv-YGVER4,low confidence location_type=GEOMETRIC_CENTER
f8e2e56f393f3cb1,อิทธิฤทธิ์ ไนซ์ คอร์ปอเรชั่น จำกัด (มหาชน),สมุทรสาคร,อำเภอเมืองสมุทรสาคร,city,13.5497782,100.2742813,13.5650377,100.2151578,OK,APPROXIMATE,TRUE,สมุทรสาคร ประเทศไทย,ChIJWQJASRK44jARGGWC2nURVAo,low confidence location_type=APPROXIMATE
93582bff6905aaff,บริษัท ฟายด์ เวอร์ค กรุ๊ป จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.8129813,100.4772693,OK,APPROXIMATE,TRUE,หมู่ที่ 10 ตำบล บางสีทอง อำเภอบางกรวย นนทบุรี 11130 ประเทศไทย,ChIJ8bjm606a4jARd2iiOzNnzTQ,low confidence location_type=APPROXIMATE
efc1abc849ebc2af,บริษัท เคไอเอ็ม แอสโซซิเอทส์ จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,14.0494843,100.6873752,OK,APPROXIMATE,TRUE,หมู่ 4 ตำบล คลองสี่ อำเภอคลองหลวง ปทุมธานี 12120 ประเทศไทย,ChIJxXHwCuCBHTERCh2y5tV6-58,low confidence location_type=APPROXIMATE
2bbe1d2205b5e702,บริษัท เอกธนกิต กรุ๊ป จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,14.0033913,100.6647101,OK,APPROXIMATE,TRUE,ปทุมธานี ประเทศไทย,ChIJR477qYqAHTERUEgMRTeSAQE,low confidence location_type=APPROXIMATE
b9a9549d4f20e9bf,ห้างหุ้นส่วนจำกัด เหนืออิสานทีม,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.9235362,100.3947116,OK,APPROXIMATE,TRUE,นนทบุรี ประเทศไทย,ChIJO6t2z8CE4jARpO5V399Gdpg,low confidence location_type=APPROXIMATE
bc28c3b4b2171ea2,บริษัท เอเซียผลิตภัณฑ์คอนกรีต (1993) จำกัด,สมุทรสาคร,อำเภอเมืองสมุทรสาคร,city,13.5497782,100.2742813,13.5650377,100.2151578,OK,APPROXIMATE,TRUE,สมุทรสาคร ประเทศไทย,ChIJWQJASRK44jARGGWC2nURVAo,low confidence location_type=APPROXIMATE
39823d6e759286aa,บริษัท ไอเดีย เพสท์ เมเนจเม้นท์ จำกัด,สมุทรปราการ,อำเภอเมืองสมุทรปราการ,city,13.5981041,100.6011757,13.5959004,100.6388008,OK,RANGE_INTERPOLATED,TRUE,114 ซอย หมู่บ้านพฤกษา ตำบล บางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,EosBMTE0IOC4i-C4reC4oiDguKvguKHguLnguYjguJrguYnguLLguJnguJ7guKTguIHguKnguLIgVGFtYm9uIEJhbmcgTXVhbmcsIEFtcGhvZSBNdWVhbmcgU2FtdXQgUHJha2FuLCBDaGFuZyBXYXQgU2FtdXQgUHJha2FuIDEwMjgwLCBUaGFpbGFuZCIwEi4KFAoSCf26uQBLXx0xEUWr3zobcjV7EHIqFAoSCfVoOv5KXx0xESaYer4OtTMp,partial match without matching house number
39cc3ab0daaba73a,บริษัท อิทธิฤทธิ์ พลัส จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,13.9950496,100.6567696,OK,ROOFTOP,TRUE,1/7 ซอย รังสิต-นครนายก 63/1 ตำบล ประชาธิปัตย์ อำาเภอ ธัญบุรี ปทุมธานี 12130 ประเทศไทย,ChIJr2ih_VB-HTERidflqLIryH0,partial match without matching house number
942ba3d9af7deac1,บริษัท ทีโอเอ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ,city,13.5981041,100.6011757,13.5788746,100.8225485,OK,ROOFTOP,TRUE,3 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10570 ประเทศไทย,ChIJHbhQB6JEHTERT3xZMCaCShA,partial match without matching house number
0686b1a4b1a2c653,บริษัท เอ็ม เอ็ม ชี มัช มอร์ จำกัด,กรุงเทพมหานคร,เขตจตุจักร,district,13.8030357,100.5502304,,,ZERO_RESULTS,EMPTY,,,,status=ZERO_RESULTS
f293f9d4bfa67b9b,บริษัท สยามแกรนด์ อลูมิเนียม จำกัด,กาญจนบุรี,อำเภอเมืองกาญจนบุรี,city,14.0227073,99.5323173,14.0181276,99.5449464,OK,APPROXIMATE,TRUE,หมู่ 3 ตำบล ปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000 ประเทศไทย,ChIJw_bz0rJ04zARKSELKp4ujfA,low confidence location_type=APPROXIMATE
b15577f8c091ffcf,ห้างหุ้นส่วนจำกัด คฑาวุธ กรุ๊ป,ปทุมธานี,อำเภอลาดหลุมแก้ว,city,14.0203964,100.5340426,14.0328241,100.3855414,OK,ROOFTOP,TRUE,29MP+46F ตำบล ลาดหลุมแก้ว อำเภอลาดหลุมแก้ว ปทุมธานี 12140 ประเทศไทย,ChIJPwqaMreJ4jARECR2WoOORYw,partial match without matching house number
b1dfb747ff9df4ff,บริษัท แอล เอช ที เอเซีย เซลส์ แอนด์ มาร์เก็ตติ้ง จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,14.1159389,100.6057914,OK,ROOFTOP,TRUE,2 ซอย นวนคร 1 ตำบล คลองหนึ่ง อำเภอคลองหลวง ปทุมธานี 12120 ประเทศไทย,ChIJI1LQ3mh_4jARIKAA3u8T6F8,partial match without matching house number
533977de08dd73d2,บริษัท ลิกซิล (ประเทศไทย) จำกัด (มหาชน),ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,14.0403440,100.6162139,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ปทุมธานี ประเทศไทย,EjRQaGFob24gWW90aGluIFJvYWQsIENoYW5nIFdhdCBQYXRodW0gVGhhbmksIFRoYWlsYW5kIi4qLAoUChIJJ07MBY3V3jARL2_ZgaGNXu8SFAoSCUeO-6mKgB0xEVBIDEU3kgEB,low confidence location_type=GEOMETRIC_CENTER
73c9ac23cd106925,บริษัท เค วาย บี เอเชียน แปซิฟิค คอร์ปอเรชั่น จำกัด,ชลบุรี,อำเภอเมืองชลบุรี,city,13.3662087,100.9872185,13.4288702,101.0352981,OK,GEOMETRIC_CENTER,TRUE,ถนน อมตะ ดอนหัวฬ่อ อำเภอเมืองชลบุรี ชลบุรี 20000 ประเทศไทย,ChIJvVJrT_o2HTERJdALUEiuHwM,low confidence location_type=GEOMETRIC_CENTER
4cc9b5b25ea0a01e,บริษัท บลู อควา โซลูชั่น จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,16.5853530,99.4370604,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ประเทศไทย,ChIJJ07MBY3V3jARL2_ZgaGNXu8,low confidence location_type=GEOMETRIC_CENTER
233ff5b6bbd13be6,บริษัท เซ็นทรัลไลซ์ เพาเวอร์ อุตสาหกรรม จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,16.5853530,99.4370604,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ประเทศไทย,ChIJJ07MBY3V3jARL2_ZgaGNXu8,low confidence location_type=GEOMETRIC_CENTER
5078676e37044566,รังสิต พรอสเพอร์ เอสเตท,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,14.1495727,100.6229318,OK,RANGE_INTERPOLATED,TRUE,9 ซอย พยอม 6 หมู่ 5 ตำบล พยอม อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170 ประเทศไทย,Enw5IOC4i-C4reC4oiDguJ7guKLguK3guKEgNiDguKvguKHguLnguYggNSBUYW1ib24gUGhheW9tLCBBbXBob2UgV2FuZyBOb2ksIENoYW5nIFdhdCBQaHJhIE5ha2hvbiBTaSBBeXV0dGhheWEgMTMxNzAsIFRoYWlsYW5kIjASLgoUChIJnYozglaHHTER_E_K3nnmbZUQCSoUChIJ81kXSVSHHTER6YhWziR5WiQ,formatted address does not match source province
4e89a7d344a8f33f,บริษัท อัมเมก้า (ประเทศไทย) จำกัด,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,16.5853530,99.4370604,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ประเทศไทย,ChIJJ07MBY3V3jARL2_ZgaGNXu8,low confidence location_type=GEOMETRIC_CENTER
77188d23ba77ca95,"บริษัท นารุกาว่า ฟู้ดส์ (ไทยแลนด์) จำกัด NARUKAWA FOODS (THAILAND) CO., LTD.",ปทุมธานี,อำเภอคลองหลวง,district,14.1033948,100.6703459,16.5853530,99.4370604,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ประเทศไทย,ChIJJ07MBY3V3jARL2_ZgaGNXu8,low confidence location_type=GEOMETRIC_CENTER
d7eeae083d253cd2,บริษัท อาร์เค (ประเทศไทย) จำกัด,ปทุมธานี,อำเภอคลองหลวง,district,14.1033948,100.6703459,16.5853530,99.4370604,OK,GEOMETRIC_CENTER,TRUE,ถ. พหลโยธิน ประเทศไทย,ChIJJ07MBY3V3jARL2_ZgaGNXu8,low confidence location_type=GEOMETRIC_CENTER
